Role,pensionFundId,int,0
Role,fromValidityDate,dateTime,1
Role,id,long,1
Role,tillValidityDate,dateTime,0
Person,name,string(50),0
Person,gender,string(5),0
Person,birthday,date,0
Person,pensionFundId,int,0
Person,fromValidityDate,dateTime,1
Person,id,long,1
Person,tillValidityDate,dateTime,0
SavingsAccount,amount,float,0
SavingsAccount,accountNumber,string(50),0
SavingsAccount,product,string(2),1
SavingsAccount,measuredAt,date,1
SavingsAccount,pensionFundId,int,0
SavingsAccount,fromValidityDate,dateTime,1
SavingsAccount,id,long,1
SavingsAccount,tillValidityDate,dateTime,0
ResidentialPeriod,livesAtFrom,date,0
ResidentialPeriod,livesAtTill,date,0
ResidentialPeriod,pensionFundId,int,0
ResidentialPeriod,fromValidityDate,dateTime,1
ResidentialPeriod,id,long,1
ResidentialPeriod,tillValidityDate,dateTime,0
Customer,customerNumber,string(50),0
Customer,customerMeasuredAt,date,0
Customer,totalSavingAmount,int,0
Customer,pensionFundId,int,0
Customer,fromValidityDate,dateTime,1
Customer,id,long,1
Customer,tillValidityDate,dateTime,0
WorkHistory,tillDate,date,0
WorkHistory,fromDate,date,0
WorkHistory,income,float,0
WorkHistory,pensionFundId,int,0
WorkHistory,fromValidityDate,dateTime,1
WorkHistory,id,long,1
WorkHistory,tillValidityDate,dateTime,0
Address,street,string(50),0
Address,pensionFundId,int,0
Address,fromValidityDate,dateTime,1
Address,id,long,1
Address,tillValidityDate,dateTime,0
Inlay,inlayDate,date,1
Inlay,product,string(2),1
Inlay,inlayAmount,float,0
Inlay,pensionFundId,int,0
Inlay,fromValidityDate,dateTime,1
Inlay,id,long,1
Inlay,tillValidityDate,dateTime,0
Employee,employeeId,string(50),0
Employee,pensionFundId,int,0
Employee,fromValidityDate,dateTime,1
Employee,id,long,1
Employee,tillValidityDate,dateTime,0
Employer,employerName,string(50),0
Employer,pensionFundId,int,0
Employer,fromValidityDate,dateTime,1
Employer,id,long,1
Employer,tillValidityDate,dateTime,0
link_Person_Role,Person_id,long,1
link_Person_Role,Role_id,long,1
link_ResidentialPeriod,ResidentialPeriod_id,long,1
link_ResidentialPeriod,Address_id,long,1
link_ResidentialPeriod,Person_id,long,1
link_WorkHistory,WorkHistory_id,long,1
link_WorkHistory,Employee_id,long,1
link_WorkHistory,Employer_id,long,1
